,课程名,等级,访问量,课程描述,图片地址
0,Python最火爬虫框架Scrapy入门与实践,初级,4419,做为爬虫工程师Python Scrapy主流爬虫框架你必须要会！,//img4.mukewang.com/5b39cfff0001a2ed06000338-240-135.jpg
1,用GO语言构建自己的区块链,初级,4962,区块链自己动手实现一把，啥都明白了。,//img.mukewang.com/5b2218750001370806000338-240-135.jpg
2,HBase 存储原理剖析,高级,3481,从底层存储架构分析HBase存储数据的原理,//img1.mukewang.com/5b0248080001dcc306000338-240-135.jpg
3,Java9之模块系统,初级,8421,实例驱动的Java 9平台模块系统实战开发,//img.mukewang.com/5b025dbd00015d1a06000338-240-135.jpg
4,TensorFlow与Flask结合打造手写体数字识别,中级,4122,TensorFlow和flask结合识别自己的手写体数字,//img.mukewang.com/5afe7ffa00018fff06000338-240-135.jpg
5,Storm基础入门,初级,5831,"带你快速入门Storm,对数据进行实时流式计算",//img3.mukewang.com/5af553c300015fb806000338-240-135.jpg
6,区块链技术核心概念与原理讲解,入门,17947,登链科技首席技术官(Tiny熊），为你讲解区块链技术核心概念与原理,//img4.mukewang.com/5ae3e5b80001818c06000338-240-135.jpg
7,Go并发编程案例解析,中级,5094,课程带你通过一个真实的线上日志监控系统学习Golang以及并发的编程思想。,//img4.mukewang.com/5ad9c04900010ee306000338-240-135.jpg
8,Shiro安全框架入门,中级,14668,从零入门Shiro安全框架,//img.mukewang.com/5acd8d3e0001881a06000338-240-135.jpg
9,Python实现线性回归,初级,12372,掌握python进行线性回归分析的原理及编程实践,//img.mukewang.com/5abc6159000142f706000338-240-135.jpg
10,GO语言语法入门篇,入门,13692,Go编译的程序可以媲美C或C++代码的速度，更加安全、支持并行进程,//img.mukewang.com/5aaf5f370001c40306000338-240-135.jpg
11,SpringBoot开发常用技术整合,中级,32593,SpringBoot 极简开发的框架整合利器,//img3.mukewang.com/5a9f83e90001f06306000338-240-135.jpg
12,ajax跨域完全讲解,中级,32631,完全讲解Ajax跨域产生的原因和解决思路，掌握跨域的各种解决方案,//img.mukewang.com/5a7d64da0001032d06000338-240-135.jpg
13,SpringBoot+MyBatis搭建迷你小程序,中级,34424,SpringBoot+MyBatis搭建小程序后台,//img2.mukewang.com/5a72827d0001cb8006000338-240-135.jpg
14,Python人工智能常用库Numpy使用入门,初级,19427,Python人工智能常用库Numpy简单入门,//img4.mukewang.com/5a7048580001670506000338-240-135.jpg
15,Netty入门之WebSocket初体验,中级,12119,由浅入深了解Java高性能NIO通信首选框架——Netty,//img1.mukewang.com/5a6946f200017b5c06000338-240-135.jpg
16,PhpStorm的基本应用,入门,15100,PHP开发者神器PhpStorm ,//img1.mukewang.com/5a6190720001551506000338-240-135.jpg
17,基于SpringBoot  十分钟搞定后台管理平台,中级,15862,大道至简之Guns框架介绍，带你领略代码自动生成,//img1.mukewang.com/5a5824c100019a8506000338-240-135.jpg
